original_index,n_runs,std,range,agreement_pct,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode,level_mean
122,3,0.0,0,100.0,0,0,0,3,0,4,4.0
123,3,0.0,0,100.0,0,0,3,0,0,3,3.0
126,3,0.0,0,100.0,0,0,3,0,0,3,3.0
127,3,0.0,0,100.0,0,0,0,3,0,4,4.0
128,3,0.0,0,100.0,0,0,3,0,0,3,3.0
129,3,0.0,0,100.0,0,0,3,0,0,3,3.0
130,3,0.0,0,100.0,0,0,3,0,0,3,3.0
131,3,0.0,0,100.0,3,0,0,0,0,1,1.0
134,3,0.0,0,100.0,0,0,0,3,0,4,4.0
135,3,0.0,0,100.0,0,0,0,0,3,5,5.0
136,3,0.0,0,100.0,3,0,0,0,0,1,1.0
138,3,0.0,0,100.0,0,0,3,0,0,3,3.0
139,3,0.0,0,100.0,0,3,0,0,0,2,2.0
140,3,0.0,0,100.0,0,0,3,0,0,3,3.0
145,3,0.0,0,100.0,0,3,0,0,0,2,2.0
147,3,0.0,0,100.0,0,0,0,0,3,5,5.0
149,3,0.0,0,100.0,0,0,0,0,3,5,5.0
151,3,0.0,0,100.0,0,0,0,0,3,5,5.0
152,3,0.0,0,100.0,3,0,0,0,0,1,1.0
158,3,0.0,0,100.0,0,0,3,0,0,3,3.0
159,3,0.0,0,100.0,0,0,3,0,0,3,3.0
163,3,0.0,0,100.0,0,0,0,3,0,4,4.0
165,3,0.0,0,100.0,0,3,0,0,0,2,2.0
166,3,0.0,0,100.0,0,0,3,0,0,3,3.0
167,3,0.0,0,100.0,0,0,0,0,3,5,5.0
169,3,0.0,0,100.0,0,0,3,0,0,3,3.0
171,3,0.0,0,100.0,0,0,3,0,0,3,3.0
173,3,0.0,0,100.0,3,0,0,0,0,1,1.0
176,3,0.0,0,100.0,0,0,0,0,3,5,5.0
178,3,0.0,0,100.0,0,3,0,0,0,2,2.0
179,3,0.0,0,100.0,0,0,0,3,0,4,4.0
180,3,0.0,0,100.0,0,0,3,0,0,3,3.0
182,3,0.0,0,100.0,0,0,3,0,0,3,3.0
184,0,0.0,0,,0,0,0,0,0,,
187,3,0.0,0,100.0,0,3,0,0,0,2,2.0
189,3,0.0,0,100.0,0,0,0,3,0,4,4.0
190,3,0.0,0,100.0,3,0,0,0,0,1,1.0
192,3,0.0,0,100.0,0,3,0,0,0,2,2.0
195,3,0.0,0,100.0,0,0,0,0,3,5,5.0
197,3,0.0,0,100.0,0,0,0,3,0,4,4.0
198,3,0.0,0,100.0,0,0,3,0,0,3,3.0
202,3,0.0,0,100.0,3,0,0,0,0,1,1.0
203,3,0.0,0,100.0,3,0,0,0,0,1,1.0
204,3,0.0,0,100.0,0,3,0,0,0,2,2.0
207,3,0.0,0,100.0,0,0,3,0,0,3,3.0
208,3,0.0,0,100.0,3,0,0,0,0,1,1.0
216,3,0.0,0,100.0,0,0,0,3,0,4,4.0
217,3,0.0,0,100.0,3,0,0,0,0,1,1.0
223,3,0.0,0,100.0,0,0,0,3,0,4,4.0
226,3,0.0,0,100.0,0,0,3,0,0,3,3.0
228,3,0.0,0,100.0,0,0,0,0,3,5,5.0
232,3,0.0,0,100.0,3,0,0,0,0,1,1.0
235,3,0.0,0,100.0,0,0,3,0,0,3,3.0
242,3,0.0,0,100.0,0,0,3,0,0,3,3.0
474,3,0.0,0,100.0,0,0,3,0,0,3,3.0
476,3,0.0,0,100.0,3,0,0,0,0,1,1.0
477,3,0.0,0,100.0,0,0,0,0,3,5,5.0
478,3,0.0,0,100.0,0,3,0,0,0,2,2.0
479,3,0.0,0,100.0,0,0,3,0,0,3,3.0
481,3,0.0,0,100.0,0,0,0,3,0,4,4.0
482,3,0.0,0,100.0,0,0,3,0,0,3,3.0
483,3,0.0,0,100.0,0,0,3,0,0,3,3.0
484,3,0.0,0,100.0,0,0,3,0,0,3,3.0
485,3,0.0,0,100.0,0,3,0,0,0,2,2.0
486,0,0.0,0,,0,0,0,0,0,,
487,3,0.0,0,100.0,3,0,0,0,0,1,1.0
490,3,0.0,0,100.0,0,0,0,3,0,4,4.0
492,3,0.0,0,100.0,0,0,3,0,0,3,3.0
493,3,0.0,0,100.0,0,3,0,0,0,2,2.0
494,3,0.0,0,100.0,0,0,3,0,0,3,3.0
495,3,0.0,0,100.0,0,0,3,0,0,3,3.0
496,3,0.0,0,100.0,3,0,0,0,0,1,1.0
497,3,0.0,0,100.0,0,0,3,0,0,3,3.0
498,3,0.0,0,100.0,0,0,3,0,0,3,3.0
499,3,0.0,0,100.0,0,3,0,0,0,2,2.0
500,3,0.0,0,100.0,0,3,0,0,0,2,2.0
503,3,0.0,0,100.0,0,3,0,0,0,2,2.0
505,3,0.0,0,100.0,0,0,0,3,0,4,4.0
508,3,0.0,0,100.0,0,3,0,0,0,2,2.0
509,3,0.0,0,100.0,0,3,0,0,0,2,2.0
510,3,0.0,0,100.0,3,0,0,0,0,1,1.0
511,3,0.0,0,100.0,0,3,0,0,0,2,2.0
512,3,0.0,0,100.0,0,3,0,0,0,2,2.0
514,3,0.0,0,100.0,0,0,3,0,0,3,3.0
517,3,0.0,0,100.0,0,3,0,0,0,2,2.0
518,3,0.0,0,100.0,3,0,0,0,0,1,1.0
521,3,0.0,0,100.0,3,0,0,0,0,1,1.0
522,3,0.0,0,100.0,0,3,0,0,0,2,2.0
523,3,0.0,0,100.0,0,0,3,0,0,3,3.0
524,3,0.0,0,100.0,0,3,0,0,0,2,2.0
526,3,0.0,0,100.0,3,0,0,0,0,1,1.0
527,3,0.0,0,100.0,0,0,3,0,0,3,3.0
530,3,0.0,0,100.0,3,0,0,0,0,1,1.0
531,3,0.0,0,100.0,0,0,0,3,0,4,4.0
532,3,0.0,0,100.0,0,3,0,0,0,2,2.0
534,3,0.0,0,100.0,0,3,0,0,0,2,2.0
539,3,0.0,0,100.0,0,0,0,3,0,4,4.0
540,3,0.0,0,100.0,0,0,0,3,0,4,4.0
541,3,0.0,0,100.0,0,0,3,0,0,3,3.0
543,3,0.0,0,100.0,0,3,0,0,0,2,2.0
545,3,0.0,0,100.0,3,0,0,0,0,1,1.0
546,3,0.0,0,100.0,3,0,0,0,0,1,1.0
550,3,0.0,0,100.0,0,3,0,0,0,2,2.0
551,3,0.0,0,100.0,0,3,0,0,0,2,2.0
552,3,0.0,0,100.0,3,0,0,0,0,1,1.0
553,3,0.0,0,100.0,0,3,0,0,0,2,2.0
554,3,0.0,0,100.0,0,0,3,0,0,3,3.0
555,3,0.0,0,100.0,0,0,0,3,0,4,4.0
557,3,0.0,0,100.0,3,0,0,0,0,1,1.0
558,3,0.0,0,100.0,0,0,3,0,0,3,3.0
560,0,0.0,0,,0,0,0,0,0,,
561,3,0.0,0,100.0,3,0,0,0,0,1,1.0
563,3,0.0,0,100.0,0,0,0,3,0,4,4.0
564,3,0.0,0,100.0,3,0,0,0,0,1,1.0
565,3,0.0,0,100.0,3,0,0,0,0,1,1.0
566,3,0.0,0,100.0,0,3,0,0,0,2,2.0
567,3,0.0,0,100.0,0,0,3,0,0,3,3.0
568,3,0.0,0,100.0,3,0,0,0,0,1,1.0
569,3,0.0,0,100.0,0,3,0,0,0,2,2.0
570,3,0.0,0,100.0,0,0,0,3,0,4,4.0
571,3,0.0,0,100.0,0,3,0,0,0,2,2.0
572,3,0.0,0,100.0,0,3,0,0,0,2,2.0
573,3,0.0,0,100.0,3,0,0,0,0,1,1.0
574,3,0.0,0,100.0,0,3,0,0,0,2,2.0
575,3,0.0,0,100.0,0,0,3,0,0,3,3.0
576,3,0.0,0,100.0,0,3,0,0,0,2,2.0
578,3,0.0,0,100.0,0,3,0,0,0,2,2.0
579,3,0.0,0,100.0,0,0,3,0,0,3,3.0
581,3,0.0,0,100.0,0,0,3,0,0,3,3.0
582,3,0.0,0,100.0,0,0,0,3,0,4,4.0
584,3,0.0,0,100.0,0,3,0,0,0,2,2.0
585,3,0.0,0,100.0,0,0,0,3,0,4,4.0
589,3,0.0,0,100.0,0,3,0,0,0,2,2.0
590,3,0.0,0,100.0,0,0,0,3,0,4,4.0
591,3,0.0,0,100.0,0,0,3,0,0,3,3.0
592,3,0.0,0,100.0,0,0,0,3,0,4,4.0
594,3,0.0,0,100.0,0,3,0,0,0,2,2.0
596,3,0.0,0,100.0,0,0,3,0,0,3,3.0
597,3,0.0,0,100.0,0,3,0,0,0,2,2.0
599,3,0.0,0,100.0,0,0,0,3,0,4,4.0
601,3,0.0,0,100.0,0,3,0,0,0,2,2.0
602,3,0.0,0,100.0,0,0,0,3,0,4,4.0
605,3,0.0,0,100.0,0,3,0,0,0,2,2.0
608,3,0.0,0,100.0,0,3,0,0,0,2,2.0
609,3,0.0,0,100.0,0,0,0,3,0,4,4.0
611,3,0.0,0,100.0,0,3,0,0,0,2,2.0
612,3,0.0,0,100.0,0,3,0,0,0,2,2.0
614,3,0.0,0,100.0,0,0,3,0,0,3,3.0
618,3,0.0,0,100.0,3,0,0,0,0,1,1.0
619,3,0.0,0,100.0,0,0,3,0,0,3,3.0
620,3,0.0,0,100.0,3,0,0,0,0,1,1.0
621,3,0.0,0,100.0,0,3,0,0,0,2,2.0
622,3,0.0,0,100.0,0,0,3,0,0,3,3.0
623,3,0.0,0,100.0,0,0,0,0,3,5,5.0
624,3,0.0,0,100.0,3,0,0,0,0,1,1.0
627,3,0.0,0,100.0,0,0,3,0,0,3,3.0
630,3,0.0,0,100.0,0,0,3,0,0,3,3.0
636,3,0.0,0,100.0,0,0,3,0,0,3,3.0
637,3,0.0,0,100.0,0,0,0,3,0,4,4.0
639,3,0.0,0,100.0,0,0,3,0,0,3,3.0
641,3,0.0,0,100.0,0,0,3,0,0,3,3.0
642,3,0.0,0,100.0,3,0,0,0,0,1,1.0
643,3,0.0,0,100.0,0,3,0,0,0,2,2.0
644,3,0.0,0,100.0,0,3,0,0,0,2,2.0
646,3,0.0,0,100.0,0,3,0,0,0,2,2.0
647,3,0.0,0,100.0,0,0,3,0,0,3,3.0
649,3,0.0,0,100.0,0,0,0,3,0,4,4.0
650,3,0.0,0,100.0,0,0,0,3,0,4,4.0
653,3,0.0,0,100.0,0,0,0,3,0,4,4.0
655,3,0.0,0,100.0,0,3,0,0,0,2,2.0
656,3,0.0,0,100.0,0,3,0,0,0,2,2.0
658,3,0.0,0,100.0,0,0,3,0,0,3,3.0
661,3,0.0,0,100.0,0,0,3,0,0,3,3.0
664,3,0.0,0,100.0,0,0,0,3,0,4,4.0
665,3,0.0,0,100.0,0,3,0,0,0,2,2.0
666,3,0.0,0,100.0,0,3,0,0,0,2,2.0
667,3,0.0,0,100.0,3,0,0,0,0,1,1.0
668,3,0.0,0,100.0,0,0,0,0,3,5,5.0
670,3,0.0,0,100.0,0,3,0,0,0,2,2.0
674,3,0.0,0,100.0,3,0,0,0,0,1,1.0
675,3,0.0,0,100.0,0,3,0,0,0,2,2.0
678,3,0.0,0,100.0,0,3,0,0,0,2,2.0
679,3,0.0,0,100.0,0,0,3,0,0,3,3.0
686,3,0.0,0,100.0,0,3,0,0,0,2,2.0
687,3,0.0,0,100.0,0,0,0,3,0,4,4.0
693,3,0.0,0,100.0,0,0,0,3,0,4,4.0
694,3,0.0,0,100.0,0,3,0,0,0,2,2.0
695,3,0.0,0,100.0,0,0,0,3,0,4,4.0
696,3,0.0,0,100.0,0,0,3,0,0,3,3.0
697,3,0.0,0,100.0,0,3,0,0,0,2,2.0
703,3,0.0,0,100.0,0,0,3,0,0,3,3.0
705,3,0.0,0,100.0,0,0,3,0,0,3,3.0
706,3,0.0,0,100.0,0,0,3,0,0,3,3.0
975,0,0.0,0,,0,0,0,0,0,,
976,3,0.0,0,100.0,3,0,0,0,0,1,1.0
977,3,0.0,0,100.0,0,0,0,3,0,4,4.0
978,3,0.0,0,100.0,0,3,0,0,0,2,2.0
979,3,0.0,0,100.0,3,0,0,0,0,1,1.0
980,3,0.0,0,100.0,0,3,0,0,0,2,2.0
981,3,0.0,0,100.0,0,3,0,0,0,2,2.0
982,3,0.0,0,100.0,0,0,3,0,0,3,3.0
983,3,0.0,0,100.0,0,0,3,0,0,3,3.0
984,3,0.0,0,100.0,0,0,3,0,0,3,3.0
985,3,0.0,0,100.0,0,3,0,0,0,2,2.0
987,3,0.0,0,100.0,3,0,0,0,0,1,1.0
989,3,0.0,0,100.0,0,0,3,0,0,3,3.0
990,3,0.0,0,100.0,0,0,3,0,0,3,3.0
991,3,0.0,0,100.0,0,3,0,0,0,2,2.0
992,3,0.0,0,100.0,3,0,0,0,0,1,1.0
994,3,0.0,0,100.0,0,3,0,0,0,2,2.0
995,3,0.0,0,100.0,0,0,3,0,0,3,3.0
996,3,0.0,0,100.0,0,0,3,0,0,3,3.0
997,3,0.0,0,100.0,0,0,3,0,0,3,3.0
998,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1000,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1001,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1002,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1003,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1004,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1005,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1006,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1007,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1008,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1009,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1010,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1011,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1013,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1015,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1016,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1017,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1019,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1020,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1021,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1024,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1025,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1026,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1027,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1031,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1032,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1033,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1035,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1036,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1039,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1040,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1041,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1042,0,0.0,0,,0,0,0,0,0,,
1043,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1048,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1049,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1050,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1052,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1053,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1054,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1055,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1056,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1057,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1059,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1060,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1061,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1062,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1064,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1065,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1066,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1070,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1071,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1075,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1076,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1077,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1078,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1079,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1080,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1082,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1083,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1084,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1085,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1086,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1087,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1088,0,0.0,0,,0,0,0,0,0,,
1089,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1091,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1092,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1094,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1096,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1098,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1099,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1100,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1101,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1102,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1103,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1106,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1107,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1109,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1110,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1112,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1113,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1115,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1117,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1119,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1120,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1121,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1125,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1126,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1128,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1129,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1136,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1137,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1139,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1141,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1143,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1146,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1148,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1151,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1152,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1153,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1154,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1155,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1156,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1158,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1159,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1160,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1164,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1166,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1168,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1172,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1173,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1179,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1180,0,0.0,0,,0,0,0,0,0,,
1181,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1187,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1189,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1194,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1218,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1239,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1240,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1459,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1461,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1463,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1464,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1465,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1466,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1467,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1468,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1470,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1471,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1472,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1473,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1474,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1475,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1476,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1477,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1478,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1480,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1481,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1482,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1486,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1487,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1490,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1492,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1493,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1495,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1497,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1498,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1499,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1500,3,0.0,0,100.0,0,0,3,0,0,3,3.0
1501,0,0.0,0,,0,0,0,0,0,,
1502,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1504,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1505,0,0.0,0,,0,0,0,0,0,,
1506,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1508,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1509,3,0.0,0,100.0,0,3,0,0,0,2,2.0
1511,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1512,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1515,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1519,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1520,3,0.0,0,100.0,3,0,0,0,0,1,1.0
1522,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1523,3,0.0,0,100.0,0,0,0,0,3,5,5.0
1524,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1525,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1526,3,0.0,0,100.0,0,3,0,0,0,2,2.0
