model_id,dimension,item_id,prompt_id,run_id,0.0,0.5,1.0
Qwen_Qwen3-32B,Individualism,107,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,107,1,3,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,109,1,1,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,109,1,2,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,109,1,3,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,11,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,11,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,11,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,110,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,110,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,110,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,113,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,113,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,113,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,114,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,114,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,114,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,118,1,1,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,118,1,2,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,118,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,119,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,119,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,119,1,3,25.0,25.0,75.0
Qwen_Qwen3-32B,Individualism,12,1,1,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,12,1,2,100.0,100.0,50.0
Qwen_Qwen3-32B,Individualism,12,1,3,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,121,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,121,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,121,1,3,50.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,122,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,122,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,122,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,123,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,123,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,123,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,126,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,126,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,126,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,127,1,1,75.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,127,1,2,75.0,25.0,75.0
Qwen_Qwen3-32B,Individualism,127,1,3,75.0,75.0,25.0
Qwen_Qwen3-32B,Individualism,128,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,128,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,128,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,129,1,1,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,129,1,2,100.0,100.0,50.0
Qwen_Qwen3-32B,Individualism,129,1,3,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,130,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,130,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,130,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,131,1,1,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,131,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,131,1,3,50.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,134,1,1,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,134,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,134,1,3,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,135,1,1,75.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,135,1,2,75.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,135,1,3,75.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,136,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,136,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,136,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,138,1,1,50.0,100.0,50.0
Qwen_Qwen3-32B,Individualism,138,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,138,1,3,50.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,139,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,139,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,139,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,140,1,1,25.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,140,1,2,25.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,140,1,3,25.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,145,1,1,25.0,0.0,25.0
Qwen_Qwen3-32B,Individualism,145,1,2,25.0,75.0,0.0
Qwen_Qwen3-32B,Individualism,145,1,3,25.0,25.0,0.0
Qwen_Qwen3-32B,Individualism,147,1,1,100.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,147,1,2,100.0,25.0,100.0
Qwen_Qwen3-32B,Individualism,147,1,3,100.0,100.0,50.0
Qwen_Qwen3-32B,Individualism,149,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,149,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,149,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,15,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,15,1,2,25.0,25.0,0.0
Qwen_Qwen3-32B,Individualism,15,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,151,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,151,1,2,75.0,75.0,100.0
Qwen_Qwen3-32B,Individualism,151,1,3,75.0,75.0,100.0
Qwen_Qwen3-32B,Individualism,152,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,152,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,152,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,158,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,158,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,158,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,159,1,1,50.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,159,1,2,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,159,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,16,1,1,25.0,75.0,25.0
Qwen_Qwen3-32B,Individualism,16,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,16,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,163,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,163,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,163,1,3,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,165,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,165,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,165,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,166,1,1,50.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,166,1,2,50.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,166,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,167,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,167,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,167,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,169,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,169,1,2,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,169,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,17,1,1,25.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,17,1,2,25.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,17,1,3,25.0,100.0,75.0
Qwen_Qwen3-32B,Individualism,171,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,171,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,171,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,173,1,1,0.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,173,1,2,0.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,173,1,3,0.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,176,1,1,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,176,1,2,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,176,1,3,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,178,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,178,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,178,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,179,1,1,100.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,179,1,2,100.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,179,1,3,100.0,25.0,100.0
Qwen_Qwen3-32B,Individualism,18,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,18,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,18,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,180,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,180,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,180,1,3,75.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,182,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,182,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,182,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,184,1,1,50.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,184,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,184,1,3,50.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,187,1,1,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,187,1,2,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,187,1,3,100.0,100.0,75.0
Qwen_Qwen3-32B,Individualism,189,1,1,50.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,189,1,2,50.0,100.0,50.0
Qwen_Qwen3-32B,Individualism,189,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,19,1,1,25.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,19,1,2,25.0,50.0,0.0
Qwen_Qwen3-32B,Individualism,19,1,3,25.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,190,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,190,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,190,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,192,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,192,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,192,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,195,1,1,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,195,1,2,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,195,1,3,100.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,197,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,197,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,197,1,3,50.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,198,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,198,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,198,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,2,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,2,1,2,50.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,2,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,20,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,20,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,20,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,202,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,202,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,202,1,3,50.0,0.0,50.0
Qwen_Qwen3-32B,Individualism,203,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,203,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,203,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,204,1,1,50.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,204,1,2,50.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,204,1,3,50.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,207,1,1,100.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,207,1,2,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,207,1,3,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,208,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,208,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,208,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,21,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,21,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,21,1,3,25.0,25.0,75.0
Qwen_Qwen3-32B,Individualism,216,1,1,100.0,25.0,100.0
Qwen_Qwen3-32B,Individualism,216,1,2,100.0,75.0,25.0
Qwen_Qwen3-32B,Individualism,216,1,3,100.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,217,1,1,50.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,217,1,2,50.0,100.0,50.0
Qwen_Qwen3-32B,Individualism,217,1,3,50.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,223,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,223,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,223,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,226,1,1,75.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,226,1,2,75.0,75.0,100.0
Qwen_Qwen3-32B,Individualism,226,1,3,75.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,228,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,228,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,228,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,232,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,232,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,232,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,235,1,1,50.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,235,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,235,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,24,1,1,50.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,24,1,2,50.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,24,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,242,1,1,25.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,242,1,2,25.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,242,1,3,25.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,27,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,27,1,2,50.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,27,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,29,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,29,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,29,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,3,1,1,75.0,100.0,75.0
Qwen_Qwen3-32B,Individualism,3,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,3,1,3,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,31,1,1,25.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,31,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,31,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,34,1,1,50.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,34,1,2,50.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,34,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,36,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,36,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,36,1,3,75.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,37,1,1,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,37,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,37,1,3,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,38,1,1,50.0,50.0,0.0
Qwen_Qwen3-32B,Individualism,38,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,38,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,39,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,39,1,2,50.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,39,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,4,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,4,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,4,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,40,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,40,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,40,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,42,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,42,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,42,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,43,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,43,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,43,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,44,1,1,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,44,1,2,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,44,1,3,100.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,47,1,1,75.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,47,1,2,75.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,47,1,3,75.0,75.0,25.0
Qwen_Qwen3-32B,Individualism,48,1,1,100.0,100.0,75.0
Qwen_Qwen3-32B,Individualism,48,1,2,100.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,48,1,3,100.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,49,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,49,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,49,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,5,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,5,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,5,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,50,1,1,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,50,1,2,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,50,1,3,75.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,51,1,1,25.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,51,1,2,25.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,51,1,3,25.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,53,1,1,50.0,0.0,75.0
Qwen_Qwen3-32B,Individualism,53,1,2,50.0,50.0,0.0
Qwen_Qwen3-32B,Individualism,53,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,54,1,1,25.0,75.0,100.0
Qwen_Qwen3-32B,Individualism,54,1,2,25.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,54,1,3,25.0,75.0,25.0
Qwen_Qwen3-32B,Individualism,55,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,55,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,55,1,3,50.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,56,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,56,1,2,75.0,75.0,100.0
Qwen_Qwen3-32B,Individualism,56,1,3,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,57,1,1,50.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,57,1,2,50.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,57,1,3,50.0,100.0,100.0
Qwen_Qwen3-32B,Individualism,58,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,58,1,2,50.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,58,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,59,1,1,25.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,59,1,2,25.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,59,1,3,25.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,60,1,1,25.0,0.0,0.0
Qwen_Qwen3-32B,Individualism,60,1,2,25.0,25.0,0.0
Qwen_Qwen3-32B,Individualism,60,1,3,25.0,0.0,0.0
Qwen_Qwen3-32B,Individualism,61,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,61,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,61,1,3,75.0,100.0,75.0
Qwen_Qwen3-32B,Individualism,62,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,62,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,62,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,63,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,63,1,2,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,63,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,64,1,1,100.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,64,1,2,100.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,64,1,3,100.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,66,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,66,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,66,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,67,1,1,50.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,67,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,67,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,70,1,1,50.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,70,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,70,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,72,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,72,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,72,1,3,50.0,75.0,50.0
Qwen_Qwen3-32B,Individualism,73,1,1,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,73,1,2,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,73,1,3,100.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,78,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,78,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,78,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,79,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,79,1,2,25.0,25.0,0.0
Qwen_Qwen3-32B,Individualism,79,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,8,1,1,50.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,8,1,2,50.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,8,1,3,50.0,50.0,25.0
Qwen_Qwen3-32B,Individualism,80,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,80,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,80,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,81,1,1,50.0,75.0,100.0
Qwen_Qwen3-32B,Individualism,81,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,81,1,3,50.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,84,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,84,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,84,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,85,1,1,50.0,50.0,50.0
